titulo;tipo_paper;doi
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Book;10.20965/jdr.2014.p0563
;Journalarticle;
;Booksection;10.1061/9780784413517.0123
;Journalarticle;10.1193/022013EQS041MR
;Journalarticle;10.1007/978-3-642-44916-1_6
;Booksection;10.1007/978-3-642-35548-6_73
;Journalarticle;10.1080/17448689.2014.885787
;Journalarticle;10.1111/disa.12068
;Journalarticle;10.1504/IJEM.2014.061664
;Journalarticle;10.1080/14649357.2014.902909
;Journalarticle;10.1016/j.ijdrr.2014.03.003
;Journalarticle;10.1016/j.ijdrr.2014.02.001
;Book;10.1108/IJDRBE-08-2012-0025
;Booksection;10.1111/ciso.12026
;Journalarticle;10.1111/disa.12048
;Conferencepaper;10.1111/disa.12054
;Journalarticle;10.1007/s11069-013-0924-3
;Journalarticle;10.1016/j.habitatint.2013.09.001
;Conferencepaper;10.5593/SGEM2013/BF6/S27.023
;Conferencepaper;10.1080/14616718.2013.852301
;Journalarticle;10.2495/DMAN130041
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Conferencepaper;
;Journalarticle;10.1016/j.techfore.2012.12.001
;Journalarticle;10.1108/SS-12-2012-0044
;Journalarticle;10.1111/1758-5899.12038
;Journalarticle;
;Booksection;10.1111/nzg.12014
;Journalarticle;
;Journalarticle;10.1108/IJDRBE-02-2012-0009
;Journalarticle;10.1108/IJDRBE-03-2013-0005
;Journalarticle;
;Journalarticle;10.1080/17477891.2012.689250
;Conferencepaper;10.1371/currents.dis.a4f34a96cb91aaffacd36f5ce7476a36
;Journalarticle;10.1111/j.1467-7717.2012.01305.x
;Journalarticle;10.1142/S1464333213500051
;Journalarticle;10.1108/17595901311298991
;Journalarticle;10.1007/s10708-011-9437-3
;Booksection;
;Journalarticle;10.1016/j.ypmed.2012.12.024
;Booksection;
;Book;10.2495/SC130381
;Booksection;10.1016/j.proeng.2013.03.012
;Journalarticle;10.1108/DPM-10-2013-0180
;Journalarticle;10.20965/jdr.2013.p0737
;Journalarticle;10.1016/j.habitatint.2013.05.004
;Journalarticle;10.1080/1536710X.2013.784551
;Journalarticle;10.1080/1536710X.2013.784561
;Conferencepaper;10.1080/1536710X.2013.784175
;Journalarticle;10.20965/jdr.2013.p0356
;Conferencepaper;10.1108/09653561311301989
;Journalarticle;10.1007/s11069-012-0442-8
;Journalarticle;
;Conferencepaper;10.1080/10511482.2011.624528
;Journalarticle;10.1080/00036846.2011.589821
;Journalarticle;10.1108/09699981211259621
;Journalarticle;
;Journalarticle;10.1108/17595901211263611
;Journalarticle;10.1007/s11069-012-0224-3
;Journalarticle;10.1111/j.1467-8381.2012.02082.x
;Journalarticle;10.1080/00346764.2012.662786
;Journalarticle;
;Journalarticle;10.1016/j.gloenvcha.2012.05.001
;Journalarticle;10.1016/j.iatssr.2012.07.001
;Journalarticle;10.1093/cdj/bsr025
;Conferencepaper;
;Journalarticle;
;Journalarticle;10.1016/j.envdev.2012.03.010
;Journalarticle;10.1108/09653561211220034
;Journalarticle;10.1111/j.1468-0297.2011.02475.x
;Book;10.1016/j.emospa.2011.08.002
;Book;
;Conferencepaper;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;10.1007/s13753-012-0007-1
;Journalarticle;10.1016/j.ijdrr.2012.08.001
;Journalarticle;10.1587/transcom.E95.B.1911
;Journalarticle;10.20965/jdr.2012.p0203
;Journalarticle;10.20965/jdr.2012.p0065
;Booksection;
;Conferencepaper;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;10.1109/ISCRAM.2011.6184141
;Journalarticle;10.1080/09593969.2011.619665
;Journalarticle;
;Booksection;10.1163/156853111X597305
;Journalarticle;10.1177/0020872811400717
;Booksection;
;Journalarticle;10.1193/1.3633096
;Journalarticle;10.1061/41185(417)78
;Journalarticle;10.1080/17477891.2011.598497
;Journalarticle;
;Journalarticle;10.1179/003962611X13117748891750
;Journalarticle;
;Journalarticle;10.1080/00220388.2010.509786
;Book;10.1163/187651411X566720
;Booksection;
;Conferencepaper;10.1016/j.apgeog.2011.01.001
;Journalarticle;10.1061/41171(401)177
;Booksection;10.1111/j.1467-954X.2011.02008.x
;Journalarticle;10.1093/cdj/bsp058
;Book;10.1108/17595901111108380
;Journalarticle;10.1260/1478-0771.9.1.17
;Journalarticle;10.1061/(ASCE)CO.1943-7862.0000277
;Journalarticle;
;Journalarticle;10.1177/097492841106700402
;Journalarticle;10.1080/01446193.2010.521761
;Journalarticle;10.1016/j.habitatint.2010.08.003
;Journalarticle;10.1108/03074801111100445
;Journalarticle;
;Journalarticle;
;Conferencepaper;
;Booksection;
;Journalarticle;
;Journalarticle;
;Journalarticle;10.3846/ijspm.2010.26
;Conferencepaper;10.3846/ijspm.2010.24
;Journalarticle;10.3844/ajassp.2010.1412.1419
